Vendedor,ID,Title,Price,Currency,Category URL,Details URL,partner-name,Date,timestamp,image_url,breadcumb
600,12234927,Cerveza Peñón del Águila Kölsch en lata,160.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Bebidas
600,12234929,Cerveza Peñón del Águila octoberfest en lata,160.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Bebidas
600,12234933,Cerveza Peñón del Águila honigbier en lata,160.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Bebidas
600,12235618,Cerveza Peñón del Águila Schwarzbier negra en lata,160.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Bebidas
600,12235629,Cerveza Otro Mundo Beastie Ale 500 ml.,160.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Bebidas
600,12235631,Cerveza Otro Mundo Golden Ale de 500m ml.,160.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Bebidas
600,24254263,Refresco línea Coca Cola 350 ml.,80.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Bebidas
600,24254266,Refresco línea Schweppes 350 ml.,80.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Bebidas
600,24254268,Agua mineral 500 ml.,80.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Bebidas
600,24254272,Cerveza Otro Mundo Nut Brown Ale de 500 ml.,160.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Bebidas
600,24254299,Cerveza Otro Mundo Indian Pale Ale de 500 ml.,160.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Bebidas
600,24254311,Cerveza Corona rubia de 355 ml.,160.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Bebidas
600,24252683,Falafel Baalbak,200.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Falafel
600,24252735,Falafel Alrawshe,200.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Falafel
600,24252742,Falafel Biblos,220.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Falafel
600,24252753,Falafel Yeita,240.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Falafel
